gender,condition,response,rt,key_t,img,pause_trigger_t,onset_word,onset_img,correct_resp,delay_frames_after,no,word_score_warriner,ID,img_trigger,scan day,duration_frames,word_label,offset_img,duration_measured_img,word_trigger,delay_frames_before,age,duration_measured_word,session,pause_trigger,word_score_pc,offset_word,word
male,faceWord_exp,,,,image_stim_n.png,102.75098370001069,101.05387190001784,104.76822600001469,,336,11,4.78,kranalarm,22,Monday,42,neg,105.44978970001102,0.6815636999963317,12,180,20,0.6969302999787033,2,32,1.3393636650983416,101.75080219999654,heavy
male,faceWord_exp,b,0.3817812000052072,117.74359220001497,image_stim_p.png,112.74581980000949,111.0494219000102,117.36181100000977,1,180,12,5.86,kranalarm,21,Monday,42,neu,118.04343700001482,0.6816260000050534,13,336,20,0.696409299998777,2,41,0.10630403813009667,111.74583120000898,whole
male,faceWord_exp,b,0.5044916999759153,127.88836939999601,image_stim_p.png,122.7411425000173,121.04336430001422,127.3838777000201,1,180,13,5.97,kranalarm,21,Monday,42,neu,128.07199740002397,0.688119700003881,13,336,20,0.6984362000075635,2,41,-0.02119054453060663,121.74180050002178,power
male,faceWord_exp,,,,image_stim_n.png,132.7691434000153,131.07193430000916,137.38675350000267,,180,14,3.57,kranalarm,22,Monday,42,neg,138.06619300000602,0.6794395000033546,12,336,20,0.697548199997982,2,32,2.483224745184551,131.76948250000714,cough
male,faceWord_exp,,,,image_stim_n.png,142.76421890000347,141.07179149999865,144.78181680000853,,336,15,4.54,kranalarm,22,Monday,42,neg,145.46454810001887,0.6827313000103459,12,180,20,0.6926646000065375,2,32,0.6502198887451732,141.7644561000052,office
male,faceWord_exp,b,0.3344259999867063,155.11030500000925,image_stim_n.png,152.7605681999994,151.06313870000304,154.77587900002254,0,336,16,4.75,kranalarm,22,Monday,42,neg,155.45832289999817,0.6824438999756239,12,180,20,0.6965147000155412,2,32,1.0482300490198866,151.75965340001858,ricochet
male,faceWord_exp,,,,image_stim_n.png,162.75465420002,161.06212139999843,164.77174379999633,,336,17,3.52,kranalarm,22,Monday,42,neg,165.45425740000792,0.682513600011589,12,180,20,0.6938070000032894,2,32,4.02985566434138,161.75592840000172,problem
male,faceWord_exp,b,0.2840403000009246,175.08379870001227,image_stim_p.png,172.78293000001577,171.08744660002412,174.79975840001134,1,336,18,6.48,kranalarm,21,Monday,42,pos,175.4818700000178,0.6821116000064649,11,180,20,0.696013499982655,2,31,-2.4114282062334524,171.78346010000678,carnival
male,faceWord_exp,,,,image_stim_n.png,182.77812679999624,181.0812776000239,187.40080600001966,,180,19,5.55,kranalarm,22,Monday,42,neu,188.0914357000147,0.6906296999950428,13,336,20,0.6966634999844246,2,42,-0.09980687036967174,181.77794110000832,eggplant
male,faceWord_exp,,,,image_stim_n.png,192.7894709999964,191.09379490002175,194.8061307000171,,336,20,4.81,kranalarm,22,Monday,42,neg,195.48881050001364,0.6826797999965493,12,180,20,0.6958603999810293,2,32,0.5494484707734639,191.78965530000278,stone
male,faceWord_exp,b,0.2988027000101283,207.69969930002117,image_stim_p.png,202.78505950002,201.0910939000023,207.40089660001104,1,180,21,6.81,kranalarm,21,Monday,42,pos,208.0815671000164,0.6806705000053626,11,336,20,0.6937850000103936,2,31,-1.5621536719325724,201.7848789000127,sailboat
